
            Name                 Version        Type   
  notify                    6.1.1              cargo   
  num-bigint                0.4.6              cargo   
  num-conv                  0.1.0              cargo   
  num-derive                0.4.2              cargo   
  num-integer               0.1.46             cargo   
  num-traits                0.2.19             cargo   
  numerals                  0.1.4              cargo   
  once_cell                 1.20.1             cargo   
  open                      5.3.0              cargo   
  openssl                   0.10.66            cargo   
  openssl                   3.3.3-r0           apk     
  openssl-macros            0.1.1              cargo   
  openssl-probe             0.1.5              cargo   
  openssl-sys               0.9.103            cargo   
  option-ext                0.2.0              cargo   
  palette                   0.7.6              cargo   
  palette_derive            0.7.6              cargo   
  parking_lot               0.12.3             cargo   
  parking_lot_core          0.9.10             cargo   
  paste                     1.0.15             cargo   
  pathdiff                  0.2.1              cargo   
  pax-utils                 1.3.8-r1           apk     
  pdf-writer                0.12.0             cargo   
  percent-encoding          2.3.1              cargo   
  phf                       0.11.2             cargo   
  phf_generator             0.11.2             cargo   
  phf_macros                0.11.2             cargo   
  phf_shared                0.11.2             cargo   
  pico-args                 0.5.0              cargo   
  pixglyph                  0.5.1              cargo   
  plist                     1.7.0              cargo   
  png                       0.17.14            cargo   
  portable-atomic           1.9.0              cargo   
  postcard                  1.0.10             cargo   
  powerfmt                  0.2.0              cargo   
  ppv-lite86                0.2.20             cargo   
  proc-macro2               1.0.86             cargo   
  protobuf                  1.36.6             golang  
  psm                       0.1.23             cargo   
  qcms                      0.3.0              cargo   
  quick-error               2.0.1              cargo   
  quick-xml                 0.32.0             cargo   
  quick-xml                 0.36.2             cargo   
  quote                     1.0.37             cargo   
  rand                      0.8.5              cargo   
  rand_chacha               0.3.1              cargo   
  rand_core                 0.6.4              cargo   
  rayon                     1.10.0             cargo   
  rayon-core                1.12.1             cargo   
  regex                     1.11.0             cargo   
  regex-automata            0.4.8              cargo   
  regex-syntax              0.8.5              cargo   
  resvg                     0.43.0             cargo   
  rgb                       0.8.50             cargo   
  roxmltree                 0.20.0             cargo   
  rust_decimal              1.36.0             cargo   
  rustix                    0.38.37            cargo   
  rustversion               1.0.17             cargo   
  rustybuzz                 0.18.0             cargo   
  ryu                       1.0.18             cargo   
  same-file                 1.0.6              cargo   
  scanelf                   1.3.8-r1           apk     
  scopeguard                1.2.0              cargo   
  semver                    1.0.23             cargo   
  serde                     1.0.210            cargo   
  serde_derive              1.0.210            cargo   
  serde_json                1.0.128            cargo   
  serde_spanned             0.6.8              cargo   
  serde_yaml                0.9.34+deprecated  cargo   
  shell-escape              0.1.5              cargo   
  simd-adler32              0.3.7              cargo   
  simplecss                 0.2.1              cargo   
  siphasher                 1.0.1              cargo   
  siphasher                 0.3.11             cargo   
  slotmap                   1.0.7              cargo   
  smallvec                  1.13.2             cargo   
  spin                      0.9.8              cargo   
  sse                       1.0.0              golang  
  ssl_client                1.37.0-r12         apk     
  stable_deref_trait        1.2.0              cargo   
  stacker                   0.1.17             cargo   
  stdlib                    1.24.4             golang  
  strict-num                0.1.1              cargo   
  string-interner           0.17.0             cargo   
  strsim                    0.11.1             cargo   
  strum                     0.26.3             cargo   
  strum_macros              0.26.4             cargo   
  subsetter                 0.2.0              cargo   
  svg2pdf                   0.12.0             cargo   
  svgtypes                  0.15.2             cargo   
  syn                       2.0.79             cargo   
  synstructure              0.13.1             cargo   
  syntect                   5.2.0              cargo   
  sys                       0.31.0             golang  
  tar                       0.4.42             cargo   
  tempfile                  3.13.0             cargo   
  termcolor                 1.4.1              cargo   
  terminal_size             0.4.0              cargo   
  text                      0.23.0             golang  
  thin-vec                  0.2.13             cargo   
  thiserror                 1.0.64             cargo   
  thiserror-impl            1.0.64             cargo   
  time                      0.3.36             cargo   
  time-core                 0.1.2              cargo   
  time-macros               0.2.18             cargo   
  tiny-skia                 0.11.4             cargo   
  tiny-skia-path            0.11.4             cargo   
  tinystr                   0.7.6              cargo   
  tinyvec                   1.8.0              cargo   
  tinyvec_macros            0.1.1              cargo   
  toml                      0.8.19             cargo   
  toml_datetime             0.6.8              cargo   
  toml_edit                 0.22.22            cargo   
  ttf-parser                0.24.1             cargo   
  two-face                  0.4.0              cargo   
  typed-arena               2.0.2              cargo   
  typst                     0.12.0             cargo   
  typst                     0.12.0-r0          apk     
  typst-assets              0.12.0             cargo   
  typst-cli                 0.12.0             cargo   
  typst-kit                 0.12.0             cargo   
  typst-macros              0.12.0             cargo   
  typst-pdf                 0.12.0             cargo   
  typst-render              0.12.0             cargo   
  typst-svg                 0.12.0             cargo   
  typst-syntax              0.12.0             cargo   
