
           Name                        Version                Type   
  systemd                 252.38-1~deb12u1                   deb     
  sysvinit                3.06-4                             deb     
  sysvinit-utils          3.06-4                             deb     
  tar                     1.34+dfsg-1.2+deb12u1              deb     
  text                    0.23.0                             golang  
  tzdata                  2025b-0+deb12u1                    deb     
  universal-translator    0.18.1                             golang  
  usr-is-merged           37~deb12u1                         deb     
  usrmerge                37~deb12u1                         deb     
  util-linux              2.38.1-5+deb12u3                   deb     
  util-linux-extra        2.38.1-5+deb12u3                   deb     
  uuid                    1.6.0                              golang  
  validator               10.25.0                            golang  
  xman                    1.3.2                              golang  
  xxhash                  0.8.1-1                            deb     
  xz-utils                5.4.1-1                            deb     
  yaml.v3                 3.0.1                              golang  
  zlib                    1:1.2.13.dfsg-1                    deb     
  zlib1g                  1:1.2.13.dfsg-1                    deb     
